Squidward Tentacles,0.0,0.0,0.0,0.0,0.0,0.0009,0.0126,0.461,0.5255,0.0,
Sterling Sucks,0.8778,0.1222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Team Average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
WE DAT BOIZ,0.1097,0.5343,0.1517,0.2043,0.0,0.0,0.0,0.0,0.0,0.0,
One Nation Under Gronk,0.0,0.0,0.5294,0.3932,0.0623,0.0146,0.0005,0.0,0.0,0.0,
Ditkas Out For Harambe,0.0125,0.3435,0.3022,0.2593,0.071,0.0115,0.0,0.0,0.0,0.0,
Carlos Spicy Weiner,0.0,0.0,0.0029,0.0689,0.4021,0.2846,0.2317,0.0098,0.0,0.0,
Thottenham Thotspurs,0.0,0.0,0.0138,0.0668,0.2878,0.3878,0.1824,0.0602,0.0012,0.0,
Straight Cash Homie,0.0,0.0,0.0,0.0075,0.1768,0.2923,0.509,0.0144,0.0,0.0,
Sheamus's  Crew,0.0,0.0,0.0,0.0,0.0,0.0083,0.0638,0.4546,0.4733,0.0,
